date,type,value
2020-07-31,Imported,3
2020-07-31,Local,393
2020-08-01,Imported,5
2020-08-01,Local,302
2020-08-02,Imported,5
2020-08-02,Local,308
2020-08-03,Imported,9
2020-08-03,Local,215
2020-08-04,Imported,7
2020-08-04,Local,288
2020-08-05,Imported,4
2020-08-05,Local,902
2020-08-06,Imported,4
2020-08-06,Local,297
2020-08-07,Imported,6
2020-08-07,Local,236
2020-08-08,Imported,6
2020-08-08,Local,126
2020-08-09,Imported,3
2020-08-09,Local,172
2020-08-10,Imported,12
2020-08-10,Local,176
2020-08-11,Imported,3
2020-08-11,Local,58
2020-08-12,Imported,11
2020-08-12,Local,31
2020-08-13,Imported,6
2020-08-13,Local,96
2020-08-14,Imported,4
2020-08-14,Local,79
2020-08-15,Imported,16
2020-08-15,Local,65
2020-08-16,Imported,6
2020-08-16,Local,80
2020-08-17,Imported,6
2020-08-17,Local,85
2020-08-18,Imported,2
2020-08-18,Local,98
2020-08-19,Imported,6
2020-08-19,Local,87
2020-08-20,Imported,2
2020-08-20,Local,66
2020-08-21,Imported,13
2020-08-21,Local,103
2020-08-22,Imported,5
2020-08-22,Local,45
2020-08-23,Imported,13
2020-08-23,Local,74
2020-08-24,Imported,7
2020-08-24,Local,44
2020-08-25,Imported,1
2020-08-25,Local,30
2020-08-26,Imported,10
2020-08-26,Local,50
2020-08-27,Imported,5
2020-08-27,Local,72
2020-08-28,Imported,10
2020-08-28,Local,84
2020-08-29,Imported,3
2020-08-29,Local,48
2020-08-30,Imported,7
2020-08-30,Local,46
2020-08-31,Imported,7
2020-08-31,Local,34
2020-09-01,Imported,7
2020-09-01,Local,33
2020-09-02,Imported,3
2020-09-02,Local,46
2020-09-03,Imported,5
2020-09-03,Local,43
2020-09-04,Imported,3
2020-09-04,Local,37
2020-09-05,Imported,1
2020-09-05,Local,32
2020-09-06,Imported,13
2020-09-06,Local,27
2020-09-07,Imported,3
2020-09-07,Local,19
2020-09-08,Imported,1
2020-09-08,Local,46
2020-09-09,Imported,14
2020-09-09,Local,61
2020-09-10,Imported,6
2020-09-10,Local,57
2020-09-11,Imported,13
2020-09-11,Local,73
2020-09-12,Imported,10
2020-09-12,Local,32
2020-09-13,Imported,8
2020-09-13,Local,41
2020-09-14,Imported,5
2020-09-14,Local,43
2020-09-15,Imported,6
2020-09-15,Local,28
2020-09-16,Imported,2
2020-09-16,Local,25
2020-09-17,Imported,2
2020-09-17,Local,16
2020-09-18,Imported,1
2020-09-18,Local,9
2020-09-19,Imported,5
2020-09-19,Local,10
2020-09-20,Imported,4
2020-09-20,Local,14
2020-09-21,Imported,9
2020-09-21,Local,22
2020-09-22,Imported,1
2020-09-22,Local,20
2020-09-23,Imported,4
2020-09-23,Local,8
2020-09-24,Imported,5
2020-09-24,Local,10
2020-09-25,Imported,2
2020-09-25,Local,9
2020-09-26,Imported,5
2020-09-26,Local,15
2020-09-27,Imported,5
2020-09-27,Local,10
2020-09-28,Imported,6
2020-09-28,Local,9
2020-09-29,Imported,9
2020-09-29,Local,18
2020-09-30,Imported,4
2020-09-30,Local,19
2020-10-01,Imported,15
2020-10-01,Local,4
2020-10-02,Imported,5
2020-10-02,Local,5
2020-10-03,Imported,4
2020-10-03,Local,2
2020-10-04,Imported,6
2020-10-04,Local,6
2020-10-05,Imported,1
2020-10-05,Local,6
2020-10-06,Imported,4
2020-10-06,Local,7
2020-10-07,Imported,6
2020-10-07,Local,4
2020-10-08,Imported,5
2020-10-08,Local,4
2020-10-09,Imported,9
2020-10-09,Local,1
2020-10-10,Imported,5
2020-10-10,Local,2
2020-10-11,Imported,7
2020-10-11,Local,3
2020-10-12,Imported,2
2020-10-12,Local,2
2020-10-13,Imported,4
2020-10-13,Local,0
2020-10-14,Imported,3
2020-10-14,Local,2
2020-10-15,Imported,2
2020-10-15,Local,1
2020-10-16,Imported,8
2020-10-16,Local,1
2020-10-17,Imported,1
2020-10-17,Local,2
2020-10-18,Imported,5
2020-10-18,Local,2
2020-10-19,Imported,4
2020-10-19,Local,0
2020-10-20,Imported,4
2020-10-20,Local,2
2020-10-21,Imported,12
2020-10-21,Local,0
2020-10-22,Imported,7
2020-10-22,Local,1
2020-10-23,Imported,10
2020-10-23,Local,0
2020-10-24,Imported,11
2020-10-24,Local,3
2020-10-25,Imported,3
2020-10-25,Local,2
2020-10-26,Imported,2
2020-10-26,Local,1
2020-10-27,Imported,7
2020-10-27,Local,0
2020-10-28,Imported,7
2020-10-28,Local,0
2020-10-29,Imported,7
2020-10-29,Local,0
2020-10-30,Imported,8
2020-10-30,Local,1
2020-10-31,Imported,12
2020-10-31,Local,0
2020-11-01,Imported,4
2020-11-01,Local,0
2020-11-02,Imported,1
2020-11-02,Local,0
2020-11-03,Imported,7
2020-11-03,Local,2
2020-11-04,Imported,5
2020-11-04,Local,2
2020-11-05,Imported,7
2020-11-05,Local,0
2020-11-06,Imported,4
2020-11-06,Local,0
2020-11-07,Imported,7
2020-11-07,Local,0
2020-11-08,Imported,2
2020-11-08,Local,0
2020-11-09,Imported,8
2020-11-09,Local,0
2020-11-10,Imported,7
2020-11-10,Local,2
2020-11-11,Imported,18
2020-11-11,Local,0
2020-11-12,Imported,11
2020-11-12,Local,0
2020-11-13,Imported,12
2020-11-13,Local,0
2020-11-14,Imported,2
2020-11-14,Local,0
2020-11-15,Imported,3
2020-11-15,Local,0
2020-11-16,Imported,5
2020-11-16,Local,0
2020-11-17,Imported,6
2020-11-17,Local,0
2020-11-18,Imported,5
2020-11-18,Local,0
2020-11-19,Imported,4
2020-11-19,Local,0
2020-11-20,Imported,4
2020-11-20,Local,0
2020-11-21,Imported,5
2020-11-21,Local,0
2020-11-22,Imported,12
2020-11-22,Local,0
2020-11-23,Imported,5
2020-11-23,Local,0
2020-11-24,Imported,18
2020-11-24,Local,0
2020-11-25,Imported,7
2020-11-25,Local,0
2020-11-26,Imported,4
2020-11-26,Local,1
2020-11-27,Imported,4
2020-11-27,Local,0
2020-11-28,Imported,5
2020-11-28,Local,1
2020-11-29,Imported,8
2020-11-29,Local,0
2020-11-30,Imported,5
2020-11-30,Local,0
2020-12-01,Imported,8
2020-12-01,Local,2
2020-12-02,Imported,2
2020-12-02,Local,0
2020-12-03,Imported,8
2020-12-03,Local,1
2020-12-04,Imported,3
2020-12-04,Local,0
2020-12-05,Imported,12
2020-12-05,Local,1
2020-12-06,Imported,5
2020-12-06,Local,0
2020-12-07,Imported,13
2020-12-07,Local,0
2020-12-08,Imported,12
2020-12-08,Local,0
2020-12-09,Imported,6
2020-12-09,Local,0
2020-12-10,Imported,6
2020-12-10,Local,0
2020-12-11,Imported,7
2020-12-11,Local,1
2020-12-12,Imported,8
2020-12-12,Local,0
2020-12-13,Imported,7
2020-12-13,Local,0
2020-12-14,Imported,5
2020-12-14,Local,0
2020-12-15,Imported,15
2020-12-15,Local,1
2020-12-16,Imported,12
2020-12-16,Local,0
2020-12-17,Imported,24
2020-12-17,Local,0
2020-12-18,Imported,9
2020-12-18,Local,0
2020-12-19,Imported,17
2020-12-19,Local,0
2020-12-20,Imported,19
2020-12-20,Local,0
2020-12-21,Imported,9
2020-12-21,Local,1
2020-12-22,Imported,29
2020-12-22,Local,0
2020-12-23,Imported,21
2020-12-23,Local,0
2020-12-24,Imported,13
2020-12-24,Local,0
2020-12-25,Imported,14
2020-12-25,Local,0
2020-12-26,Imported,10
2020-12-26,Local,0
2020-12-27,Imported,5
2020-12-27,Local,0
2020-12-28,Imported,5
2020-12-28,Local,0
2020-12-29,Imported,13
2020-12-29,Local,0
2020-12-30,Imported,26
2020-12-30,Local,1
2020-12-31,Imported,25
2020-12-31,Local,5
2021-01-01,Imported,28
2021-01-01,Local,2
2021-01-02,Imported,33
2021-01-02,Local,0
2021-01-03,Imported,35
2021-01-03,Local,0
2021-01-04,Imported,24
2021-01-04,Local,0
2021-01-05,Imported,27
2021-01-05,Local,1
2021-01-06,Imported,30
2021-01-06,Local,1
2021-01-07,Imported,31
2021-01-07,Local,2
2021-01-08,Imported,21
2021-01-08,Local,2
2021-01-09,Imported,29
2021-01-09,Local,0
2021-01-10,Imported,42
2021-01-10,Local,0
2021-01-11,Imported,22
2021-01-11,Local,0
2021-01-12,Imported,17
2021-01-12,Local,0
2021-01-13,Imported,37
2021-01-13,Local,1
2021-01-14,Imported,44
2021-01-14,Local,1
2021-01-15,Imported,30
2021-01-15,Local,0
2021-01-16,Imported,19
2021-01-16,Local,5
2021-01-17,Imported,28
2021-01-17,Local,2
2021-01-18,Imported,12
2021-01-18,Local,2
2021-01-19,Imported,26
2021-01-19,Local,4
2021-01-20,Imported,37
2021-01-20,Local,3
2021-01-21,Imported,35
2021-01-21,Local,3
2021-01-22,Imported,14
2021-01-22,Local,1
2021-01-23,Imported,10
2021-01-23,Local,0
2021-01-24,Imported,48
2021-01-24,Local,0
2021-01-25,Imported,44
2021-01-25,Local,0
2021-01-26,Imported,14
2021-01-26,Local,0
2021-01-27,Imported,25
2021-01-27,Local,0
2021-01-28,Imported,34
2021-01-28,Local,0
2021-01-29,Imported,24
2021-01-29,Local,0
2021-01-30,Imported,55
2021-01-30,Local,3
2021-01-31,Imported,29
2021-01-31,Local,0
2021-02-01,Imported,29
2021-02-01,Local,0
2021-02-02,Imported,19
2021-02-02,Local,0
2021-02-03,Imported,18
2021-02-03,Local,0
2021-02-04,Imported,22
2021-02-04,Local,0
2021-02-05,Imported,24
2021-02-05,Local,1
2021-02-06,Imported,26
2021-02-06,Local,0
2021-02-07,Imported,23
2021-02-07,Local,1
2021-02-08,Imported,20
2021-02-08,Local,2
2021-02-09,Imported,11
2021-02-09,Local,0
2021-02-10,Imported,14
2021-02-10,Local,1
2021-02-11,Imported,9
2021-02-11,Local,3
2021-02-12,Imported,16
2021-02-12,Local,2
2021-02-13,Imported,9
2021-02-13,Local,0
2021-02-14,Imported,14
2021-02-14,Local,0
2021-02-15,Imported,9
2021-02-15,Local,0
2021-02-16,Imported,1
2021-02-16,Local,0
2021-02-17,Imported,10
2021-02-17,Local,1
2021-02-18,Imported,11
2021-02-18,Local,0
2021-02-19,Imported,14
2021-02-19,Local,0
2021-02-20,Imported,12
2021-02-20,Local,0
2021-02-21,Imported,11
2021-02-21,Local,0
2021-02-22,Imported,9
2021-02-22,Local,1
2021-02-23,Imported,3
2021-02-23,Local,1
2021-02-24,Imported,6
2021-02-24,Local,1
2021-02-25,Imported,8
2021-02-25,Local,2
2021-02-26,Imported,13
2021-02-26,Local,0
2021-02-27,Imported,12
2021-02-27,Local,0
2021-02-28,Imported,10
2021-02-28,Local,1
2021-03-01,Imported,12
2021-03-01,Local,0
2021-03-02,Imported,8
2021-03-02,Local,0
2021-03-03,Imported,21
2021-03-03,Local,2
2021-03-04,Imported,18
2021-03-04,Local,1
2021-03-05,Imported,9
2021-03-05,Local,0
2021-03-06,Imported,13
2021-03-06,Local,0
2021-03-07,Imported,13
2021-03-07,Local,0
2021-03-08,Imported,13
2021-03-08,Local,0
2021-03-09,Imported,6
2021-03-09,Local,0
2021-03-10,Imported,10
2021-03-10,Local,0
2021-03-11,Imported,8
2021-03-11,Local,0
2021-03-12,Imported,10
2021-03-12,Local,0
2021-03-13,Imported,8
2021-03-13,Local,0
2021-03-14,Imported,17
2021-03-14,Local,0
2021-03-15,Imported,12
2021-03-15,Local,0
2021-03-16,Imported,11
2021-03-16,Local,0
2021-03-17,Imported,9
2021-03-17,Local,0
2021-03-18,Imported,15
2021-03-18,Local,0
2021-03-19,Imported,15
2021-03-19,Local,0
2021-03-20,Imported,17
2021-03-20,Local,0
2021-03-21,Imported,12
2021-03-21,Local,0
2021-03-22,Imported,12
2021-03-22,Local,0
2021-03-23,Imported,13
2021-03-23,Local,0
2021-03-24,Imported,15
