,Ticker,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52-Week Change ,S&P500 52-Week Change ,52 Week High ,52 Week Low ,50-Day Moving Average ,200-Day Moving Average ,Avg Vol (3 month) ,Avg Vol (10 day) ,Shares Outstanding ,Implied Shares Outstanding ,Float ,% Held by Insiders ,% Held by Institutions ,Shares Short  ,Short Ratio  ,Short % of Float  ,Short % of Shares Outstanding  ,Shares Short  ,Forward Annual Dividend Rate ,Forward Annual Dividend Yield ,Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,5 Year Average Dividend Yield ,Payout Ratio ,Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm)
20,U,961000000000.0,0.0,0.0,0.0,7.58,4.18,7.88,-18.62,1.9,-73.49,-15.36,210.0,29.09,41.74,70.9,98000000.0,634000000.0,30047000000.0,0.0,18876000000.0,5.78,77.23,3083000000.0,3.89,14.52,10.26,3354000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.01,-51.39,-10.44,-30.98,122000000000.0,4.19,8.6,86233000000.0,-50204000000.0,-65852000000.0,-2.1,0.0,175000000000.0,5.88,182000000000.0,79.59,3.44,7.66,6254000000.0,16805000000.0
21,SEMR,140000000000.0,0.0,0.0,0.0,7.13,7.4,6.28,-278.48,0.0,-49.8,-15.36,27.12,7.41,12.31,13.16,1779000.0,12156000.0,4332000000.0,0.0,2927000000.0,11.27,79.28,14000000.0,9.45,4.9,0.99,107000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.88,-4.99,-2.7,-8.35,22274000000.0,1.6,39.1,14607000000.0,-536000000.0,-1533000000.0,-0.05,0.0,24892000000.0,1.76,0.0,0.0,3.28,1.54,1429000000.0,2625000000.0
22,LMND,128000000000.0,0.0,0.0,0.0,7.65,1.72,7.5,0.0,1.6,-64.78,-15.36,79.54,15.99,23.52,25.09,123000000.0,85266000.0,6895000000.0,0.0,5006000000.0,30.32,31.99,1278000000.0,9.89,27.1,18.54,1262000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-163.39,-158.01,-11.46,-28.65,171000000.0,2.77,77.3,565000000.0,-2651000000.0,-2794000000.0,-4.34,0.0,2855000000.0,4.14,219000000.0,2.58,1.55,13.72,-1678000000.0,-19528000000.0
23,ZM,1648000000000.0,22.71,20.28,10.24,5.25,3.66,3.84,18.05,-0.49,-71.24,-15.36,291.31,71.69,90.76,116.15,462000000.0,346000000.0,25098000000.0,0.0,21957000000.0,12.31,62.78,1789000000.0,2.9,7.14,6.01,1122000000.0,0.0,0.0,0.0,0.0,0.0,0.0,23.06,19.73,7.28,18.6,43000000000.0,14.4,7.6,305000000000.0,90894000000.0,99014000000.0,3.14,-85.6,552000000000.0,18.55,9794000000.0,1.63,3.44,20.1,139000000000.0,145000000000.0
24,CDNS,4408000000000.0,58.37,34.6,2.07,13.8,17.05,13.42,39.6,1.17,13.36,-15.36,194.97,132.32,176.08,160.44,164000000.0,176000000.0,27387000000.0,0.0,2705000000.0,0.54,87.42,267000000.0,1.73,1.29,0.97,31000000.0,0.0,0.0,0.0,0.0,0.0,0.0,23.61,30.33,14.67,30.15,328000000000.0,12.04,17.7,268000000000.0,113000000000.0,77514000000.0,2.92,19.9,103000000000.0,3.76,348000000.0,13.26,1.59,9.59,117000000000.0,1000000000.0
25,PINS,1315000000000.0,72.47,36.9,1.39,5.76,4.98,4.83,47.63,1.09,-52.6,-15.36,66.0,16.14,22.67,24.1,1542000000.0,1137000000.0,58288000000.0,0.0,57964000000.0,0.8,87.08,248000000.0,1.76,4.27,3.68,3063000000.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,10.6,5.48,7.81,272000000000.0,4.16,8.6,205000000000.0,31864000000.0,22034000000.0,0.32,0.0,266000000000.0,3.95,19254000000.0,6.14,9.25,4.68,71097000000.0,64617000000.0
26,MDB,1303000000000.0,0.0,0.0,0.0,12.36,20.42,12.04,-41.11,0.94,-57.13,-15.36,590.0,185.51,288.36,341.56,171000000.0,201000000.0,6871000000.0,0.0,6607000000.0,3.66,91.73,412000000.0,2.14,6.98,6.0,354000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.43,-31.98,-9.14,-53.94,108000000000.0,16.07,52.8,61429000000.0,-3274000000.0,-3619000000.0,-4.84,0.0,18000000000.0,26.13,124000000000.0,185.52,4.02,9.73,-1658000000.0,16149000000.0
27,MRNA,3918000000000.0,3.6,20.66,0.0,2.27,2.57,1.76,2.45,1.69,-63.57,-15.36,376.65,115.03,146.84,159.98,482000000.0,441000000.0,3912000000.0,0.0,35361000000.0,9.55,64.11,1634000000.0,3.47,5.63,4.18,1498000000.0,0.0,0.0,0.0,0.0,0.0,0.0,61.12,68.02,46.34,113.86,2299000000000.0,57.2,9.1,1386000000000.0,1594000000000.0,1406000000000.0,31.79,-21.0,79000000000.0,20.19,887000000.0,4.93,1.99,45.88,965000000000.0,51000000000.0
28,ROKU,645000000000.0,0.0,0.0,0.0,2.63,2.78,2.12,133.12,1.68,-80.44,-15.36,350.6,55.17,71.79,112.8,993000000.0,865000000.0,12073000000.0,0.0,1202000000.0,0.32,73.5,927000000.0,1.1,7.7,6.72,1062000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.51,-1.23,-0.59,-1.72,304000000000.0,22.51,18.5,141000000000.0,17459000000.0,-4601000000.0,1.18,0.0,205000000000.0,14.87,72132000000.0,25.8,3.59,20.27,7337000000.0,33724000000.0
29,GLBE,392000000000.0,0.0,0.0,0.0,13.33,4.52,12.84,-73.32,0.0,-57.19,-15.36,69.83,15.63,29.87,31.37,148000000.0,111000000.0,15647000000.0,0.0,6602000000.0,23.34,66.38,755000000.0,3.76,7.57,4.82,703000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.2,-49.33,-10.26,-19.28,30546000000.0,2.01,52.4,9143000000.0,-5293000000.0,-15334000000.0,-0.94,0.0,28454000000.0,1.81,2025000000.0,2.19,2.76,5.9,5442000000.0,1405000000.0
30,ASAN,470000000000.0,0.0,0.0,0.0,8.95,50.93,10.05,-13.32,0.0,-76.89,-15.36,145.79,16.19,22.37,35.07,401000000.0,44000000.0,12555000000.0,0.0,7083000000.0,48.32,52.23,1863000000.0,3.63,19.47,8.83,1313000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.34,-77.52,-32.97,-199.88,46783000000.0,2.48,50.8,33954000000.0,-35101000000.0,-37117000000.0,-1.78,0.0,23891000000.0,1.25,24923000000.0,270.54,1.15,0.48,-15061000000.0,-2335000000.0
31,RBLX,1948000000000.0,0.0,270.27,11.55,9.57,38.59,8.83,-43.82,0.0,-49.83,-15.36,141.6,21.65,41.95,48.08,2292000000.0,1734000000.0,54543000000.0,0.0,40442000000.0,4.5,70.29,3648000000.0,2.17,9.97,6.11,3248000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.11,-24.43,-8.43,-103.36,221000000000.0,3.77,30.2,42749000000.0,-45504000000.0,-55394000000.0,-0.89,0.0,308000000000.0,5.15,144000000000.0,261.75,1.65,0.92,48632000000.0,46318000000.0
32,UPST,0.0,22.11,12.8,0.0,1.87,2.26,0.0,0.0,0.0,-93.07,-15.36,401.49,20.2,26.27,70.98,834000000.0,647000000.0,8135000000.0,0.0,6976000000.0,14.33,46.39,2434000000.0,3.39,34.81,29.92,26000000.0,0.0,0.0,0.0,0.0,0.0,0.0,8.45,8.9,4.24,12.34,108000000000.0,13.03,17.9,73428000000.0,10429000000.0,9088000000.0,0.93,0.0,79043000000.0,9.72,95642000000.0,126.33,16.22,9.21,-28798000000.0,-39605000000.0
33,TWLO,953000000000.0,0.0,588.24,44.96,3.66,1.17,2.8,-12.39,1.57,-78.26,-15.36,373.0,64.29,77.31,131.71,417000000.0,324000000.0,17331000000.0,0.0,17211000000.0,0.75,84.19,765000000.0,1.78,4.43,4.18,664000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.16,-30.74,-5.15,-9.84,34000000000.0,18.91,41.0,139000000000.0,-769000000.0,-106000000000.0,-5.43,0.0,439000000000.0,23.99,126000000000.0,11.6,6.42,59.22,-16456000000.0,27008000000.0
34,CRSP,321000000000.0,124.34,0.0,0.0,390.61,2.41,246.52,-5.27,1.96,-38.43,-15.36,105.6,42.51,70.79,65.54,141000000.0,113000000.0,7801000000.0,0.0,7687000000.0,1.37,69.17,1093000000.0,10.06,16.22,14.02,1072000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4276.22,-14.77,-26.99,1482000000.0,0.19,-100.0,47633000000.0,-60889000000.0,-63345000000.0,3.76,0.0,207000000000.0,26.48,24243000000.0,11.6,17.57,26.88,-44456000000.0,-32244000000.0
35,APPN,288000000000.0,0.0,0.0,0.0,6.95,14.43,6.82,-24.51,1.6,-53.18,-15.36,104.45,38.78,47.86,52.7,30772000.0,27758000.0,4095000000.0,0.0,3148000000.0,2.77,73.49,591000000.0,21.39,14.56,8.16,569000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.34,-27.38,-14.98,-51.41,42173000000.0,5.88,32.6,26517000000.0,-1087000000.0,-12374000000.0,-1.38,0.0,13593000000.0,1.88,552000000.0,26.92,1.49,2.83,-9481000000.0,-4288000000.0
36,NNOX,51743000000.0,0.0,0.0,0.0,109.33,2.28,97.41,-7.37,1.72,-51.24,-15.36,28.6,8.23,12.99,11.64,43273000.0,77068000.0,5221000000.0,0.0,4215000000.0,15.33,16.11,613000000.0,15.82,12.5,11.73,64000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1387.97,-17.03,-32.03,531000000.0,0.1,0.0,-151000000.0,-6597000000.0,-7678000000.0,-1.43,0.0,8663000000.0,1.66,516000000.0,1.97,2.21,5.02,-4861000000.0,-47088000.0
37,SHOP,2819000000000.0,0.0,500000.0,0.0,6.79,3.9,5.64,-14.61,1.82,-78.94,-15.36,176.29,26.38,33.87,57.25,298000000.0,2733000000.0,119000000000.0,0.0,118000000000.0,0.18,61.59,5067000000.0,1.88,7.24,4.0,4549000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.01,-4.27,-1.17,-20.18,5000000000.0,3.98,15.7,248000000000.0,-14613000000.0,-19000000000.0,0.13,0.0,695000000000.0,5.48,119000000000.0,13.68,11.17,6.9,1246000000.0,29101000000.0
